Reviews,sentiment
"Just what I expected.
Read more",neutral
"The media could not be loaded.
                



 good quality, works well.  My girlfriend is very happy with this watch the color is very luxurious..
Read more",neutral
"I've had this watch for 3 days now. I got it for my birthday, and so far it is very lively, and really cute.I had to take it to Macy's for them to resize it, because it is extremely difficult, and I couldn't do it. (even though the lady didn't want to do it because it wasn't purchased from there, and she didn't want to be held liable for any problems, but after some convincing, she did it for me). I had 2 links removed, and now it's perfect.I did wash dishes with it and even tried showering with it to check the water resistance, and I had absolutely no problem with it.My only complaint/problem is the day of the month. I don't like how it goes up by 10, and there's a small space between the numbers, and no dashes for the in between days, so when I try checking the day, I just have to estimate. Like if it's the 7th, on the watch it looks like anything from 6-8. My husband has a watch that actually says the number, and there was another fossil watch for $10 more that said the actual number, but I got this watch instead.Other than that, I have no other complaints so far. It's not loud. I've always had that problem with other watches, the tick tock always kept me from sleeping. Even right now, the wall clock sounds so loud, but I don't have that problem with this watch, and actually, I never even noticed a sound on it.I still need more time with it, but this is all I noticed with it so far. If I have any other pros or cons, I will update my review.
Read more",neutral
"The media could not be loaded.
                



 Me encanto estoy feliz con las compras realizados en Amazon son muy serios y excelentes productos. Este me lo dieron de regalo de navidad y estoy feliz con el
Read more",neutral
"Amazing I love ❤️
Read more",neutral
"Honestly exceeded my expectations. What a beautiful watch.
Read more",neutral
"The watch is gaudy. I paid $94.00 for this piece of you know what. The thing with Amazon, they make it difficult or expensive to return anything. So, you are basically fdd. Don't buy this watch.
Read more",neutral
"The quality of the item is great
Read more",positive
"Just what I expected.
Read more",neutral
"The media could not be loaded.
                



 good quality, works well.  My girlfriend is very happy with this watch the color is very luxurious..
Read more",neutral
